Dataset,method,Experiment,Accuracy
14_national,datawig,1,0.9189 ± 0.0000
14_national,datawig,2,0.9364 ± 0.0000
14_national,datawig,3,0.9211 ± 0.0000
14_national,datawig,4,0.9342 ± 0.0000
14_national,datawig,5,0.9276 ± 0.0000
14_national,datawig,6,0.9518 ± 0.0000
14_national,datawig,7,0.9035 ± 0.0000
14_national,datawig,8,0.9254 ± 0.0000
14_national,datawig,9,0.9452 ± 0.0000
14_national,datawig,10,0.9386 ± 0.0000
14_national,datawig,11,0.9430 ± 0.0000
14_national,datawig,12,0.9298 ± 0.0000
14_national,datawig,13,0.9298 ± 0.0000
14_national,datawig,14,0.9167 ± 0.0000
14_national,datawig,15,0.9320 ± 0.0000
14_national,datawig,16,0.9167 ± 0.0000
14_national,datawig,17,0.9320 ± 0.0000
14_national,datawig,18,0.8969 ± 0.0000
14_national,datawig,19,0.9211 ± 0.0000
14_national,datawig,20,0.9320 ± 0.0000
14_national,datawig,21,0.9342 ± 0.0000
14_national,datawig,22,0.9276 ± 0.0000
14_national,datawig,23,0.9276 ± 0.0000
14_national,datawig,24,0.9320 ± 0.0000
14_national,datawig,25,0.9035 ± 0.0000
14_national,datawig,26,0.9254 ± 0.0000
14_national,datawig,27,0.9298 ± 0.0000
14_national,datawig,28,0.9101 ± 0.0000
14_national,datawig,29,0.9013 ± 0.0000
14_national,datawig,30,0.9276 ± 0.0000
14_national,dynamic,1,0.8575 ± 0.0000
14_national,dynamic,2,0.8860 ± 0.0000
14_national,dynamic,3,0.8816 ± 0.0000
14_national,dynamic,4,0.8794 ± 0.0000
14_national,dynamic,5,0.8684 ± 0.0000
14_national,dynamic,6,0.8640 ± 0.0000
14_national,dynamic,7,0.8421 ± 0.0000
14_national,dynamic,8,0.8684 ± 0.0000
14_national,dynamic,9,0.8487 ± 0.0000
14_national,dynamic,10,0.8421 ± 0.0000
14_national,dynamic,11,0.8750 ± 0.0000
14_national,dynamic,12,0.8662 ± 0.0000
14_national,dynamic,13,0.8772 ± 0.0000
14_national,dynamic,14,0.8575 ± 0.0000
14_national,dynamic,15,0.8640 ± 0.0000
14_national,dynamic,16,0.8355 ± 0.0000
14_national,dynamic,17,0.8531 ± 0.0000
14_national,dynamic,18,0.8553 ± 0.0000
14_national,dynamic,19,0.8355 ± 0.0000
14_national,dynamic,20,0.8728 ± 0.0000
14_national,dynamic,21,0.8816 ± 0.0000
14_national,dynamic,22,0.8618 ± 0.0000
14_national,dynamic,23,0.8465 ± 0.0000
14_national,dynamic,24,0.8816 ± 0.0000
14_national,dynamic,25,0.8487 ± 0.0000
14_national,dynamic,26,0.8640 ± 0.0000
14_national,dynamic,27,0.8421 ± 0.0000
14_national,dynamic,28,0.8443 ± 0.0000
14_national,dynamic,29,0.8487 ± 0.0000
14_national,dynamic,30,0.8596 ± 0.0000
