Dataset,method,Experiment,Accuracy
6_chess,datawig,9,0.0447 ± 0.0000
6_chess,datawig,10,0.0510 ± 0.0000
6_chess,datawig,11,0.0538 ± 0.0000
6_chess,datawig,12,0.0536 ± 0.0000
6_chess,datawig,13,0.0515 ± 0.0000
6_chess,datawig,14,0.0590 ± 0.0000
6_chess,datawig,15,0.0510 ± 0.0000
6_chess,datawig,16,0.0487 ± 0.0000
6_chess,datawig,17,0.0560 ± 0.0000
6_chess,datawig,18,0.0504 ± 0.0000
6_chess,datawig,19,0.0535 ± 0.0000
6_chess,datawig,20,0.0561 ± 0.0000
6_chess,datawig,21,0.0494 ± 0.0000
6_chess,datawig,22,0.0497 ± 0.0000
6_chess,datawig,23,0.0554 ± 0.0000
6_chess,datawig,24,0.0513 ± 0.0000
6_chess,datawig,25,0.0542 ± 0.0000
6_chess,datawig,26,0.0503 ± 0.0000
6_chess,datawig,27,0.0474 ± 0.0000
6_chess,datawig,28,0.0544 ± 0.0000
6_chess,datawig,29,0.0519 ± 0.0000
6_chess,datawig,30,0.0524 ± 0.0000
6_chess,dynamic,1,0.2092 ± 0.0000
6_chess,dynamic,2,0.2183 ± 0.0000
6_chess,dynamic,3,0.2132 ± 0.0000
6_chess,dynamic,4,0.2222 ± 0.0000
6_chess,dynamic,5,0.2021 ± 0.0000
6_chess,dynamic,6,0.2076 ± 0.0000
6_chess,dynamic,7,0.2123 ± 0.0000
6_chess,dynamic,8,0.2000 ± 0.0000
6_chess,dynamic,9,0.2069 ± 0.0000
6_chess,dynamic,10,0.2042 ± 0.0000
6_chess,dynamic,11,0.2144 ± 0.0000
6_chess,dynamic,12,0.2158 ± 0.0000
6_chess,dynamic,13,0.2105 ± 0.0000
6_chess,dynamic,14,0.2121 ± 0.0000
6_chess,dynamic,15,0.2155 ± 0.0000
6_chess,dynamic,16,0.2126 ± 0.0000
6_chess,dynamic,17,0.2144 ± 0.0000
6_chess,dynamic,18,0.2007 ± 0.0000
6_chess,dynamic,19,0.2099 ± 0.0000
6_chess,dynamic,20,0.2096 ± 0.0000
6_chess,dynamic,21,0.2123 ± 0.0000
6_chess,dynamic,22,0.2091 ± 0.0000
6_chess,dynamic,23,0.2121 ± 0.0000
