Dataset,method,Experiment,Accuracy
20_obesity,11_all(dynamic+datawig+zero+knn),26,0.8854 ± 0.0184
20_obesity,11_all(dynamic+datawig+zero+knn),27,0.8861 ± 0.0187
20_obesity,11_all(dynamic+datawig+zero+knn),28,0.8858 ± 0.0187
20_obesity,11_all(dynamic+datawig+zero+knn),29,0.8857 ± 0.0184
20_obesity,11_all(dynamic+datawig+zero+knn),30,0.8862 ± 0.0186
20_obesity,datawig,1,0.1229 ± 0.0000
20_obesity,datawig,2,0.1135 ± 0.0000
20_obesity,datawig,3,0.0898 ± 0.0000
20_obesity,datawig,4,0.0969 ± 0.0000
20_obesity,datawig,5,0.0993 ± 0.0000
20_obesity,datawig,6,0.1064 ± 0.0000
20_obesity,datawig,7,0.0946 ± 0.0000
20_obesity,datawig,8,0.1087 ± 0.0000
20_obesity,datawig,9,0.1017 ± 0.0000
20_obesity,datawig,10,0.0875 ± 0.0000
20_obesity,datawig,11,0.1017 ± 0.0000
20_obesity,datawig,12,0.0969 ± 0.0000
20_obesity,datawig,13,0.0993 ± 0.0000
20_obesity,datawig,14,0.1182 ± 0.0000
20_obesity,datawig,15,0.1017 ± 0.0000
20_obesity,datawig,16,0.1040 ± 0.0000
20_obesity,datawig,17,0.0898 ± 0.0000
20_obesity,datawig,18,0.1017 ± 0.0000
20_obesity,datawig,19,0.0875 ± 0.0000
20_obesity,datawig,20,0.0993 ± 0.0000
20_obesity,datawig,21,0.1087 ± 0.0000
20_obesity,datawig,22,0.1182 ± 0.0000
20_obesity,datawig,23,0.1087 ± 0.0000
20_obesity,datawig,24,0.0804 ± 0.0000
20_obesity,datawig,25,0.0922 ± 0.0000
20_obesity,datawig,26,0.1064 ± 0.0000
20_obesity,datawig,27,0.0969 ± 0.0000
20_obesity,datawig,28,0.1206 ± 0.0000
20_obesity,datawig,29,0.0898 ± 0.0000
20_obesity,datawig,30,0.1017 ± 0.0000
20_obesity,dynamic,1,0.8652 ± 0.0000
20_obesity,dynamic,2,0.8936 ± 0.0000
20_obesity,dynamic,3,0.8534 ± 0.0000
20_obesity,dynamic,4,0.8700 ± 0.0000
20_obesity,dynamic,5,0.8582 ± 0.0000
20_obesity,dynamic,6,0.8392 ± 0.0000
20_obesity,dynamic,7,0.8629 ± 0.0000
20_obesity,dynamic,8,0.8511 ± 0.0000
20_obesity,dynamic,9,0.8558 ± 0.0000
20_obesity,dynamic,10,0.8463 ± 0.0000
20_obesity,dynamic,11,0.8794 ± 0.0000
20_obesity,dynamic,12,0.8534 ± 0.0000
20_obesity,dynamic,13,0.8511 ± 0.0000
20_obesity,dynamic,14,0.8700 ± 0.0000
20_obesity,dynamic,15,0.8582 ± 0.0000
20_obesity,dynamic,16,0.8723 ± 0.0000
20_obesity,dynamic,17,0.8818 ± 0.0000
20_obesity,dynamic,18,0.8605 ± 0.0000
20_obesity,dynamic,19,0.8771 ± 0.0000
20_obesity,dynamic,20,0.8676 ± 0.0000
20_obesity,dynamic,21,0.8487 ± 0.0000
20_obesity,dynamic,22,0.8794 ± 0.0000
20_obesity,dynamic,23,0.8818 ± 0.0000
20_obesity,dynamic,24,0.8463 ± 0.0000
20_obesity,dynamic,25,0.8700 ± 0.0000
20_obesity,dynamic,26,0.8723 ± 0.0000
20_obesity,dynamic,27,0.8771 ± 0.0000
20_obesity,dynamic,28,0.8463 ± 0.0000
20_obesity,dynamic,29,0.8723 ± 0.0000
20_obesity,dynamic,30,0.8747 ± 0.0000
